date cotation,semaine,marche,stade,code produit,Prix,unit,Origine,Certification,produit,Commentaire
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230748,"12,56",le kg,France,Biologique,AIL blanc sec, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230749,"9,08",le kg,U.E.,Biologique,AIL blanc sec, U.E. Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230699,"2,83",la piece,Inconnu,Biologique,ANANAS, Import Biologique vendu la piece
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230754,"3,87",le kg,U.E.,Biologique,AUBERGINE longue-violette, U.E. Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230747,"1,74",la piece,U.E.,Biologique,AVOCAT Hass,AVOCAT Hass U.E. Biologique vendu la piece
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230701,"1,99",le kg,Inconnu,Biologique,BANANE, Import Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230755,"3,86",le kg,France,Biologique,BETTE, France Biologique vrac
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230756,"2,99",le kg,France,Biologique,BETTERAVE ROUGE ronde crue, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230758,"2,09",le kg,France,Biologique,CAROTTE, France lave Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230789,"6,28",le kg,France,Biologique,CHALOTE, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230763,"10,38",le kg,France,Biologique,CHAMPIGNON DE PARIS, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230767,"2,8",la piece,France,Biologique,CHOU blanc, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230769,"5,29",le kg,France,Biologique,CHOU Brocoli, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230779,"2,77",la piece,France,Biologique,CHOU FLEUR, France couronne Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230772,"2,81",la piece,France,Biologique,CHOU frise, France Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230732,"3,28",le kg,U.E.,Biologique,CITRON, U.E. Biologique
07/01/2021,1,Bio magasins specialises (DRIVE),Detail,57230733,"6,07",le kg,Corse,Biologique,CLEMENTINE, Corse feuille Biologique
